   0 1 2 3 4 5 6 7 8 9 A B C D E F
0X 1 1 . . . 1 1 . 1 1 1 . . 1 1 .
1X 1 1 . . . 1 1 . 1 1 . . . . . .
2X 1 1 . . 1 1 1 . 1 1 1 . 1 1 1 .
3X 1 1 . . . 1 1 . 1 1 . . . . . .
4X 1 1 . . . 1 1 . 1 1 1 . 1 1 1 .
5X 1 1 . . . 1 1 . . 1 . . . . . .
6X 1 1 . . . 1 1 . 1 1 1 . 1 1 1 .
7X 1 1 . . . 1 1 . 1 1 . . . . . .
8X . 1 . . 1 1 1 . 1 . 1 . 1 1 1 .
9X 1 1 . . 1 1 1 . 1 1 1 . . . . .
AX 1 1 1 . 1 1 1 . 1 1 1 . 1 1 1 .
BX 1 1 . . 1 1 1 . 1 1 1 . . . . .
CX 1 1 . . 1 1 1 . 1 1 1 . 1 1 1 .
DX 1 1 . . . 1 1 . 1 1 . . . . . .
EX 1 1 . . 1 1 1 . 1 1 1 . 1 1 1 .
FX 1 1 . . . 1 1 . 1 1 . . . . . .
